# step, accuracies_non_orth, accuracies_orth
0.000000000000000000e+00,6.610000000000000320e-01,7.199999999999999734e-01
1.000000000000000000e+01,5.999999999999999778e-01,6.909999999999999476e-01
2.000000000000000000e+01,7.129999999999999671e-01,7.179999999999999716e-01
3.000000000000000000e+01,7.009999999999999565e-01,7.149999999999999689e-01
4.000000000000000000e+01,7.149999999999999689e-01,7.229999999999999760e-01
5.000000000000000000e+01,7.299999999999999822e-01,7.259999999999999787e-01
6.000000000000000000e+01,7.439999999999999947e-01,7.239999999999999769e-01
7.000000000000000000e+01,7.459999999999999964e-01,7.199999999999999734e-01
8.000000000000000000e+01,7.319999999999999840e-01,7.139999999999999680e-01
9.000000000000000000e+01,7.449999999999999956e-01,7.169999999999999707e-01
1.000000000000000000e+02,7.560000000000000053e-01,7.249999999999999778e-01
1.100000000000000000e+02,7.580000000000000071e-01,7.209999999999999742e-01
1.200000000000000000e+02,7.680000000000000160e-01,7.249999999999999778e-01
1.300000000000000000e+02,7.810000000000000275e-01,7.439999999999999947e-01
1.400000000000000000e+02,7.780000000000000249e-01,7.419999999999999929e-01
1.500000000000000000e+02,7.840000000000000302e-01,7.489999999999999991e-01
1.600000000000000000e+02,7.730000000000000204e-01,7.369999999999999885e-01
1.700000000000000000e+02,7.750000000000000222e-01,7.409999999999999920e-01
1.800000000000000000e+02,7.830000000000000293e-01,7.489999999999999991e-01
1.900000000000000000e+02,7.750000000000000222e-01,7.409999999999999920e-01
2.000000000000000000e+02,7.900000000000000355e-01,7.489999999999999991e-01
2.100000000000000000e+02,7.840000000000000302e-01,7.479999999999999982e-01
2.200000000000000000e+02,7.810000000000000275e-01,7.510000000000000009e-01
2.300000000000000000e+02,7.810000000000000275e-01,7.419999999999999929e-01
2.400000000000000000e+02,7.780000000000000249e-01,7.419999999999999929e-01
2.500000000000000000e+02,7.840000000000000302e-01,7.429999999999999938e-01
2.600000000000000000e+02,7.790000000000000258e-01,7.429999999999999938e-01
2.700000000000000000e+02,7.820000000000000284e-01,7.389999999999999902e-01
2.800000000000000000e+02,7.820000000000000284e-01,7.389999999999999902e-01
2.900000000000000000e+02,7.850000000000000311e-01,7.439999999999999947e-01
3.000000000000000000e+02,7.820000000000000284e-01,7.419999999999999929e-01
3.100000000000000000e+02,7.810000000000000275e-01,7.419999999999999929e-01
3.200000000000000000e+02,7.840000000000000302e-01,7.439999999999999947e-01
3.300000000000000000e+02,7.840000000000000302e-01,7.429999999999999938e-01
3.400000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
3.500000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
3.600000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
3.700000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
3.800000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
3.900000000000000000e+02,7.840000000000000302e-01,7.409999999999999920e-01
4.000000000000000000e+02,7.830000000000000293e-01,7.409999999999999920e-01
4.100000000000000000e+02,7.830000000000000293e-01,7.389999999999999902e-01
4.200000000000000000e+02,7.850000000000000311e-01,7.399999999999999911e-01
4.300000000000000000e+02,7.830000000000000293e-01,7.389999999999999902e-01
4.400000000000000000e+02,7.850000000000000311e-01,7.399999999999999911e-01
4.500000000000000000e+02,7.850000000000000311e-01,7.399999999999999911e-01
4.600000000000000000e+02,7.840000000000000302e-01,7.389999999999999902e-01
4.700000000000000000e+02,7.840000000000000302e-01,7.379999999999999893e-01
